file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0257_0296_2099817_to_2108547,ཧེ། དེ་ལས་འཇོན་པ་ད་དུང་ཡོད་རེད། ཧེ་འཇོན་པོ་འདུག་སེ་ཞུས་ཙང་ཡང་ཞེ་བུ་ཞིག་ཡིན་མདོག་གནང་གིས།  ,he/_de las 'jon pa da dung yod red/_he 'jon po 'dug se zhus tsang yang zhe bu zhig yin mdog gnang gis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0257_0296_2099817_to_2108547.wav,STT_MV,3,90,8.73,wav16k/STT_MV0257_0296_2099817_to_2108547.wav,ཧུན། དེ་ལས་འཇོན་པ་ད་དུང་ཡོད་རེད། ཧན། འཞོན་པོ་འདུག་སེ་ཞུས་ཙང་ཡང་ཞེ་བོ་ཅིག་ཡིན་མདོག་གནང་གིས།
STT_MV0257_0298_2120113_to_2124299,དགྲ་བོའི་དམག་དཔུང་ད་ལྟ་སུའེ་ཏི་ཧྥང་ལ་རུ་སྒྲིག་པའི་སྒང་རེད།  ,dgra bo'i dmag dpung da lta su'e ti h+phang la ru sgrig pa'i sgang red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0257_0298_2120113_to_2124299.wav,STT_MV,3,60,4.186,wav16k/STT_MV0257_0298_2120113_to_2124299.wav,དགྲ་བོའི་དམག་དཔུང་། ད་ལྟ་ཟེའ་དྷན་ཀོང་ལ་རུ་སྒྲིག་པའི་སྒང་རེད།
STT_CS-L-2012_2011-M_P-D_D-B05_B05-4_4-R_R-01_0182_1543233_to_1552030,ཤིང་སྡོང་དགའ་ཤོས་རེད། ཤིང་སྡོང་ཨ་ཨ་ཤིང་སྡོང་། ཤིང་སྡོང་གཅིག་པོ་དགའ་མཁན་རེད་བེ། ཡ། ཤིང་སྡོང་ཤིང་སྡོང་ལ། ཤིང་སྡོང་ལ་ག་རེ་ག་རེ་ཡོད་རེད། ཤིང་སྡོང་འདྲ་མི་འདྲ་ག་རེ་ག་རེ་ཡོད་རེད།  ,shing sdong dga' shos red/_shing sdong a a shing sdong /_shing sdong gcig po dga' mkhan red be/_ya/_shing sdong shing sdong la/_shing sdong la ga re ga re yod red/_shing sdong 'dra mi 'dra ga re ga re yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2012_2011-M_P-D_D-B05_B05-4_4-R_R-01_0182_1543233_to_1552030.wav,STT_CS,3,173,8.797,wav16k/STT_CS-L-2012_2011-M_P-D_D-B05_B05-4_4-R_R-01_0182_1543233_to_1552030.wav,ཤིང་སྡོག་ལྔ་ཤས་རེད། ཤིང་སྡོག་ ཤིང་སྡོག ཤིང་སྡོག་གཅིག་པོ་སྒ་ར་རེད། ཡ། ཤིང་ྡོག་དང་ཤིང་སྡོང་ལ་ཤིང་སྡོང་ལ་ག་རེ་ག་རེ་ཡོད། ཤིང་སཏོག་འདྲ་མི་འདྲ་ག་རེ་ག་རེ་དརེ་།
STT_CS-L-2012_2012-M_M-D_D-B01_B01-0_0-R_R-01_0009_83694_to_88609,ཨོ་དེ་ལ། ཨོ་ཨ་ཅག་འདི་སློབ་གྲྭ་ལ་སླེབས་ནས་སེམས་པ་སྐྱིད་པོ་འདུག་གེ ,o de la/_o a cag 'di slob grwa la slebs nas sems pa skyid po 'dug ge_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2012_2012-M_M-D_D-B01_B01-0_0-R_R-01_0009_83694_to_88609.wav,STT_CS,3,65,4.915,wav16k/STT_CS-L-2012_2012-M_M-D_D-B01_B01-0_0-R_R-01_0009_83694_to_88609.wav,འབོམ་དི་ལ། ཨ་ཅག་འདི་སློབ་གྲྭ་ལ་སླེབས་ནས་སེམས་པ་སྐྱིད་པོ་འདུག་གེ།
STT_MV0257_0300_2131545_to_2137455,ཡན་ཁྲོན་རེད། ངས་བྱས་ན་དེ་འདྲས་རེད་མི་འདུག ལྟོས་ཨ།  ,yan khron red/_ngas byas na de 'dras red mi 'dug_ltos a/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0257_0300_2131545_to_2137455.wav,STT_MV,3,51,5.91,wav16k/STT_MV0257_0300_2131545_to_2137455.wav,ཡན་ཁྲན་རེད། ངས་བྱས་ན་དེ་འདྲས་རེད་མི་འདུག ལྟོས་ཨ།
STT_PC0062_0102_519502_to_522638,འོན་ཀྱང་དེའི་འབྲས་བུ་དེ་ག་རེ་ལབ་དུས་ཙམ་པ། ཁྱེད་རང་གི་མི་ཚེ་གང་ལ།  ,'on kyang de'i 'bras bu de ga re lab dus tsam pa/_khyed rang gi mi tshe gang la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0062_0102_519502_to_522638.wav,STT_PC,3,66,3.136,wav16k/STT_PC0062_0102_519502_to_522638.wav,འོན་ཀྱང་དེའི་འབྲས་བུ་དེ་ག་རེ་རེད་ལབ་དུས་ཙམ་པ། ཁྱེད་རང་གི་མི་ཚེ་གང་ལ།
STT_PC0062_0109_549454_to_551726,འགྱུར་ལྡོག་ཡོང་བསྡད་རྒྱོ་གི་སློབ་སྦྱོང་ཅིག་བྱས་ཨ་བསམ་བྱས།  ,'gyur ldog yong bsdad rgyo gi slob sbyong cig byas a bsam byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0062_0109_549454_to_551726.wav,STT_PC,3,59,2.272,wav16k/STT_PC0062_0109_549454_to_551726.wav,འགྱུར་ལྡོག་ཡོད་བསྡད་རྒྱོ་གི་སློབ་སྦྱོང་ཅིག་བྱེད་ཨ་བསམ་བྱས།
STT_MV0058_0157_1046556_to_1055411,ངས་ཁྱེད་རང་རྒྱལ་སར་ཁྲིད་ཡོང་པ་རེད། སྐུ་ཆེན་མོའི་གཟིགས་མཐོང་དང་གོང་མ་མཆོག་གི་བཀའ་དྲིན་འོག་ལ་རྒྱ་ཚོང་དར་ཞིང་རྒྱས་པ་བྱུང་སོང་། ང་ཐུགས་ཆེ་གསུང་རྒྱུའི་ཚབ་ལ་ ,ngas khyed rang rgyal sar khrid yong pa red/_sku chen mo'i gzigs mthong dang gong ma mchog gi bka' drin 'og la rgya tshong dar zhing rgyas pa byung song /_nga thugs che gsung rgyu'i tshab la _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0058_0157_1046556_to_1055411.wav,STT_MV,3,152,8.855,wav16k/STT_MV0058_0157_1046556_to_1055411.wav,ངས་ཁྱེད་རང་རྒྱལ་སར་ཁྲིད་ཡོང་པ་རེད། སྐུ་ངོ་ཆེན་མོས་གཟིགས་མྟོང་དང་གོང་མ་མཆོག་གི་བཀའ་དྲིན་འོག་ལ་ལྗགས་ཚོང་དར་ཞིང་རྒྱལ་པ་བྱུང་སོང་། ང་ཐུགས་རྗེ་གསུང་རྒྱུའི་ཚབ་ལ།
STT_CS-L-2012_2012-M_M-D_D-B01_B01-0_0-R_R-01_0018_199786_to_203643,ཨ་ཅག་ལ་ཨ་ཅག་དང་ཇོ་ཇོ་ཡོད་རེད་བེ། ཡོད་རེད།  ,a cag la a cag dang jo jo yod red be/_yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2012_2012-M_M-D_D-B01_B01-0_0-R_R-01_0018_199786_to_203643.wav,STT_CS,3,43,3.857,wav16k/STT_CS-L-2012_2012-M_M-D_D-B01_B01-0_0-R_R-01_0018_199786_to_203643.wav,ཨ་ཅག་ལག་ཨ་ཅག་དང་ཇོ་ཇོ་ཡོད་རེད། ཡོད་རེད།
STT_CS-L-2012_2012-M_M-D_D-B01_B01-0_0-R_R-01_0020_241032_to_248353,རྟ་དབང་ནས་སླེབས་རེད། ཅོ་ཅོ་ལོ་ག་ཚོད་རེད། ང་ལོ་བཅུ་གཅིག་ཡིན། ཅོ་ཅོ་འཛིན་གྲྭ་ག་ཚོད་རེད། ང་འཛིན་གྲྭ།  ,rta dbang nas slebs red/_co co lo ga tshod red/_nga lo bcu gcig yin/_co co 'dzin grwa ga tshod red/_nga 'dzin grwa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2012_2012-M_M-D_D-B01_B01-0_0-R_R-01_0020_241032_to_248353.wav,STT_CS,3,99,7.321,wav16k/STT_CS-L-2012_2012-M_M-D_D-B01_B01-0_0-R_R-01_0020_241032_to_248353.wav,ལྟ་དབང་ནས་སླེབས་ཡོད་རེད། ཇོ་ཇོ་ལོ་ག་ཚོད་རེད། ང་ལོ་བཅུ་གཅིག་ཡིན། ཇོ་ཇོ་འཛིན་གྲྭ་ག་ཚོད་རེད། ང་འཛིན་གྲྭ།
